Gene stable ID,Human gene name,Gene name,Human gene stable ID
ENSMUSG00000095666,PRAMEF27,,ENSG00000274764
ENSMUSG00000095666,PRAMEF11,,ENSG00000239810
ENSMUSG00000095666,PRAMEF10,,ENSG00000187545
ENSMUSG00000095666,PRAMEF7,,ENSG00000204510
ENSMUSG00000095666,PRAMEF14,,ENSG00000204481
ENSMUSG00000095666,PRAMEF9,,ENSG00000204505
ENSMUSG00000095666,PRAMEF19,,ENSG00000204480
ENSMUSG00000095666,PRAMEF15,,ENSG00000204501
ENSMUSG00000095666,PRAMEF17,,ENSG00000204479
ENSMUSG00000095666,PRAMEF33,,ENSG00000237700
ENSMUSG00000095666,PRAMEF18,,ENSG00000279804
ENSMUSG00000095666,PRAMEF1,,ENSG00000116721
ENSMUSG00000095666,PRAMEF8,,ENSG00000182330
ENSMUSG00000095666,PRAMEF2,,ENSG00000120952
ENSMUSG00000095666,PRAMEF20,,ENSG00000204478
ENSMUSG00000095666,PRAMEF13,,ENSG00000279169
ENSMUSG00000094741,PRAMEF25,Pramel39,ENSG00000229571
ENSMUSG00000094741,PRAMEF4,Pramel39,ENSG00000243073
ENSMUSG00000094741,PRAMEF6,Pramel39,ENSG00000232423
ENSMUSG00000094741,PRAMEF12,Pramel39,ENSG00000116726
ENSMUSG00000094741,PRAMEF26,Pramel39,ENSG00000280267
ENSMUSG00000094741,PRAMEF5,Pramel39,ENSG00000270601
ENSMUSG00000094741,PRAMEF27,Pramel39,ENSG00000274764
ENSMUSG00000094741,PRAMEF11,Pramel39,ENSG00000239810
ENSMUSG00000094741,PRAMEF10,Pramel39,ENSG00000187545
ENSMUSG00000094741,PRAMEF7,Pramel39,ENSG00000204510
ENSMUSG00000094741,PRAMEF14,Pramel39,ENSG00000204481
ENSMUSG00000094741,PRAMEF9,Pramel39,ENSG00000204505
ENSMUSG00000094741,PRAMEF19,Pramel39,ENSG00000204480
ENSMUSG00000094741,PRAMEF15,Pramel39,ENSG00000204501
ENSMUSG00000094741,PRAMEF17,Pramel39,ENSG00000204479
ENSMUSG00000094741,PRAMEF33,Pramel39,ENSG00000237700
ENSMUSG00000094741,PRAMEF18,Pramel39,ENSG00000279804
ENSMUSG00000094741,PRAMEF1,Pramel39,ENSG00000116721
ENSMUSG00000094741,PRAMEF8,Pramel39,ENSG00000182330
ENSMUSG00000094741,PRAMEF2,Pramel39,ENSG00000120952
ENSMUSG00000094741,PRAMEF20,Pramel39,ENSG00000204478
ENSMUSG00000094741,PRAMEF13,Pramel39,ENSG00000279169
ENSMUSG00000095742,,,
ENSMUSG00000094303,PRAMEF25,,ENSG00000229571
ENSMUSG00000094303,PRAMEF4,,ENSG00000243073
ENSMUSG00000094303,PRAMEF6,,ENSG00000232423
ENSMUSG00000094303,PRAMEF12,,ENSG00000116726
ENSMUSG00000094303,PRAMEF26,,ENSG00000280267
ENSMUSG00000094303,PRAMEF5,,ENSG00000270601
ENSMUSG00000094303,PRAMEF27,,ENSG00000274764
ENSMUSG00000094303,PRAMEF11,,ENSG00000239810
ENSMUSG00000094303,PRAMEF10,,ENSG00000187545
ENSMUSG00000094303,PRAMEF7,,ENSG00000204510
ENSMUSG00000094303,PRAMEF14,,ENSG00000204481
ENSMUSG00000094303,PRAMEF9,,ENSG00000204505
ENSMUSG00000094303,PRAMEF19,,ENSG00000204480
ENSMUSG00000094303,PRAMEF15,,ENSG00000204501
ENSMUSG00000094303,PRAMEF17,,ENSG00000204479
ENSMUSG00000094303,PRAMEF33,,ENSG00000237700
ENSMUSG00000094303,PRAMEF18,,ENSG00000279804
ENSMUSG00000094303,PRAMEF1,,ENSG00000116721
ENSMUSG00000094303,PRAMEF8,,ENSG00000182330
ENSMUSG00000094303,PRAMEF2,,ENSG00000120952
ENSMUSG00000094303,PRAMEF20,,ENSG00000204478
ENSMUSG00000094303,PRAMEF13,,ENSG00000279169
ENSMUSG00000079222,,,
ENSMUSG00000095250,SP110,,ENSG00000135899
ENSMUSG00000094836,PRAMEF25,,ENSG00000229571
ENSMUSG00000094836,PRAMEF4,,ENSG00000243073
ENSMUSG00000094836,PRAMEF6,,ENSG00000232423
ENSMUSG00000094836,PRAMEF12,,ENSG00000116726
ENSMUSG00000094836,PRAMEF26,,ENSG00000280267
ENSMUSG00000094836,PRAMEF5,,ENSG00000270601
ENSMUSG00000094836,PRAMEF27,,ENSG00000274764
ENSMUSG00000094836,PRAMEF11,,ENSG00000239810
ENSMUSG00000094836,PRAMEF10,,ENSG00000187545
ENSMUSG00000094836,PRAMEF7,,ENSG00000204510
ENSMUSG00000094836,PRAMEF14,,ENSG00000204481
ENSMUSG00000094836,PRAMEF9,,ENSG00000204505
ENSMUSG00000094836,PRAMEF19,,ENSG00000204480
ENSMUSG00000094836,PRAMEF15,,ENSG00000204501
ENSMUSG00000094836,PRAMEF17,,ENSG00000204479
ENSMUSG00000094836,PRAMEF33,,ENSG00000237700
ENSMUSG00000094836,PRAMEF18,,ENSG00000279804
ENSMUSG00000094836,PRAMEF1,,ENSG00000116721
ENSMUSG00000094836,PRAMEF8,,ENSG00000182330
ENSMUSG00000094836,PRAMEF2,,ENSG00000120952
ENSMUSG00000094836,PRAMEF20,,ENSG00000204478
ENSMUSG00000094836,PRAMEF13,,ENSG00000279169
ENSMUSG00002075729,,,
ENSMUSG00000079808,SP110,,ENSG00000135899
ENSMUSG00000074720,PRAMEF25,,ENSG00000229571
ENSMUSG00000074720,PRAMEF4,,ENSG00000243073
ENSMUSG00000074720,PRAMEF6,,ENSG00000232423
ENSMUSG00000074720,PRAMEF12,,ENSG00000116726
ENSMUSG00000074720,PRAMEF26,,ENSG00000280267
ENSMUSG00000074720,PRAMEF5,,ENSG00000270601
ENSMUSG00000074720,PRAMEF27,,ENSG00000274764
ENSMUSG00000074720,PRAMEF11,,ENSG00000239810
ENSMUSG00000074720,PRAMEF10,,ENSG00000187545
ENSMUSG00000074720,PRAMEF7,,ENSG00000204510
ENSMUSG00000074720,PRAMEF14,,ENSG00000204481
ENSMUSG00000074720,PRAMEF9,,ENSG00000204505
ENSMUSG00000074720,PRAMEF19,,ENSG00000204480
ENSMUSG00000074720,PRAMEF15,,ENSG00000204501
ENSMUSG00000074720,PRAMEF17,,ENSG00000204479
ENSMUSG00000074720,PRAMEF33,,ENSG00000237700
ENSMUSG00000074720,PRAMEF18,,ENSG00000279804
ENSMUSG00000074720,PRAMEF1,,ENSG00000116721
ENSMUSG00000074720,PRAMEF8,,ENSG00000182330
ENSMUSG00000074720,PRAMEF2,,ENSG00000120952
ENSMUSG00000074720,PRAMEF20,,ENSG00000204478
ENSMUSG00000074720,PRAMEF13,,ENSG00000279169
ENSMUSG00000095787,,,
ENSMUSG00000096236,PRAMEF25,,ENSG00000229571
ENSMUSG00000096236,PRAMEF4,,ENSG00000243073
ENSMUSG00000096236,PRAMEF6,,ENSG00000232423
ENSMUSG00000096236,PRAMEF12,,ENSG00000116726
ENSMUSG00000096236,PRAMEF26,,ENSG00000280267
ENSMUSG00000096236,PRAMEF5,,ENSG00000270601
ENSMUSG00000096236,PRAMEF27,,ENSG00000274764
ENSMUSG00000096236,PRAMEF11,,ENSG00000239810
ENSMUSG00000096236,PRAMEF10,,ENSG00000187545
ENSMUSG00000096236,PRAMEF7,,ENSG00000204510
ENSMUSG00000096236,PRAMEF14,,ENSG00000204481
ENSMUSG00000096236,PRAMEF9,,ENSG00000204505
ENSMUSG00000096236,PRAMEF19,,ENSG00000204480
ENSMUSG00000096236,PRAMEF15,,ENSG00000204501
ENSMUSG00000096236,PRAMEF17,,ENSG00000204479
ENSMUSG00000096236,PRAMEF33,,ENSG00000237700
ENSMUSG00000096236,PRAMEF18,,ENSG00000279804
ENSMUSG00000096236,PRAMEF1,,ENSG00000116721
ENSMUSG00000096236,PRAMEF8,,ENSG00000182330
ENSMUSG00000096236,PRAMEF2,,ENSG00000120952
ENSMUSG00000096236,PRAMEF20,,ENSG00000204478
ENSMUSG00000096236,PRAMEF13,,ENSG00000279169
ENSMUSG00000096100,,,
ENSMUSG00000096680,PRAMEF25,,ENSG00000229571
ENSMUSG00000096680,PRAMEF4,,ENSG00000243073
ENSMUSG00000096680,PRAMEF6,,ENSG00000232423
ENSMUSG00000096680,PRAMEF12,,ENSG00000116726
ENSMUSG00000096680,PRAMEF26,,ENSG00000280267
ENSMUSG00000096680,PRAMEF5,,ENSG00000270601
ENSMUSG00000096680,PRAMEF27,,ENSG00000274764
ENSMUSG00000096680,PRAMEF11,,ENSG00000239810
ENSMUSG00000096680,PRAMEF10,,ENSG00000187545
ENSMUSG00000096680,PRAMEF7,,ENSG00000204510
ENSMUSG00000096680,PRAMEF14,,ENSG00000204481
ENSMUSG00000096680,PRAMEF9,,ENSG00000204505
ENSMUSG00000096680,PRAMEF19,,ENSG00000204480
ENSMUSG00000096680,PRAMEF15,,ENSG00000204501
ENSMUSG00000096680,PRAMEF17,,ENSG00000204479
ENSMUSG00000096680,PRAMEF33,,ENSG00000237700
ENSMUSG00000096680,PRAMEF18,,ENSG00000279804
ENSMUSG00000096680,PRAMEF1,,ENSG00000116721
ENSMUSG00000096680,PRAMEF8,,ENSG00000182330
ENSMUSG00000096680,PRAMEF2,,ENSG00000120952
ENSMUSG00000096680,PRAMEF20,,ENSG00000204478
ENSMUSG00000096680,PRAMEF13,,ENSG00000279169
ENSMUSG00000094874,SP110,,ENSG00000135899
ENSMUSG00000094337,PRAMEF25,,ENSG00000229571
ENSMUSG00000094337,PRAMEF4,,ENSG00000243073
ENSMUSG00000094337,PRAMEF6,,ENSG00000232423
ENSMUSG00000094337,PRAMEF12,,ENSG00000116726
ENSMUSG00000094337,PRAMEF26,,ENSG00000280267
ENSMUSG00000094337,PRAMEF5,,ENSG00000270601
ENSMUSG00000094337,PRAMEF27,,ENSG00000274764
ENSMUSG00000094337,PRAMEF11,,ENSG00000239810
ENSMUSG00000094337,PRAMEF10,,ENSG00000187545
ENSMUSG00000094337,PRAMEF7,,ENSG00000204510
ENSMUSG00000094337,PRAMEF14,,ENSG00000204481
ENSMUSG00000094337,PRAMEF9,,ENSG00000204505
ENSMUSG00000094337,PRAMEF19,,ENSG00000204480
ENSMUSG00000094337,PRAMEF15,,ENSG00000204501
ENSMUSG00000094337,PRAMEF17,,ENSG00000204479
ENSMUSG00000094337,PRAMEF33,,ENSG00000237700
ENSMUSG00000094337,PRAMEF18,,ENSG00000279804
ENSMUSG00000094337,PRAMEF1,,ENSG00000116721
ENSMUSG00000094337,PRAMEF8,,ENSG00000182330
ENSMUSG00000094337,PRAMEF2,,ENSG00000120952
ENSMUSG00000094337,PRAMEF20,,ENSG00000204478
ENSMUSG00000094337,PRAMEF13,,ENSG00000279169
ENSMUSG00000094383,PRAMEF25,,ENSG00000229571
ENSMUSG00000094383,PRAMEF4,,ENSG00000243073
ENSMUSG00000094383,PRAMEF6,,ENSG00000232423
ENSMUSG00000094383,PRAMEF12,,ENSG00000116726
ENSMUSG00000094383,PRAMEF26,,ENSG00000280267
ENSMUSG00000094383,PRAMEF5,,ENSG00000270601
ENSMUSG00000094383,PRAMEF27,,ENSG00000274764
ENSMUSG00000094383,PRAMEF11,,ENSG00000239810
ENSMUSG00000094383,PRAMEF10,,ENSG00000187545
ENSMUSG00000094383,PRAMEF7,,ENSG00000204510
ENSMUSG00000094383,PRAMEF14,,ENSG00000204481
ENSMUSG00000094383,PRAMEF9,,ENSG00000204505
ENSMUSG00000094383,PRAMEF19,,ENSG00000204480
ENSMUSG00000094383,PRAMEF15,,ENSG00000204501
ENSMUSG00000094383,PRAMEF17,,ENSG00000204479
ENSMUSG00000094383,PRAMEF33,,ENSG00000237700
ENSMUSG00000094383,PRAMEF18,,ENSG00000279804
ENSMUSG00000094383,PRAMEF1,,ENSG00000116721
ENSMUSG00000094383,PRAMEF8,,ENSG00000182330
ENSMUSG00000094383,PRAMEF2,,ENSG00000120952
ENSMUSG00000094383,PRAMEF20,,ENSG00000204478
ENSMUSG00000094383,PRAMEF13,,ENSG00000279169
ENSMUSG00000096756,PRAMEF25,,ENSG00000229571
ENSMUSG00000096756,PRAMEF4,,ENSG00000243073
ENSMUSG00000096756,PRAMEF6,,ENSG00000232423
ENSMUSG00000096756,PRAMEF12,,ENSG00000116726
ENSMUSG00000096756,PRAMEF26,,ENSG00000280267
ENSMUSG00000096756,PRAMEF5,,ENSG00000270601
ENSMUSG00000096756,PRAMEF27,,ENSG00000274764
ENSMUSG00000096756,PRAMEF11,,ENSG00000239810
ENSMUSG00000096756,PRAMEF10,,ENSG00000187545
ENSMUSG00000096756,PRAMEF7,,ENSG00000204510
ENSMUSG00000096756,PRAMEF14,,ENSG00000204481
ENSMUSG00000096756,PRAMEF9,,ENSG00000204505
ENSMUSG00000096756,PRAMEF19,,ENSG00000204480
ENSMUSG00000096756,PRAMEF15,,ENSG00000204501
ENSMUSG00000096756,PRAMEF17,,ENSG00000204479
ENSMUSG00000096756,PRAMEF33,,ENSG00000237700
ENSMUSG00000096756,PRAMEF18,,ENSG00000279804
ENSMUSG00000096756,PRAMEF1,,ENSG00000116721
ENSMUSG00000096756,PRAMEF8,,ENSG00000182330
ENSMUSG00000096756,PRAMEF2,,ENSG00000120952
ENSMUSG00000096756,PRAMEF20,,ENSG00000204478
ENSMUSG00000096756,PRAMEF13,,ENSG00000279169
ENSMUSG00000094054,,,
ENSMUSG00000095672,SP110,,ENSG00000135899
ENSMUSG00000095500,,,
ENSMUSG00000095505,PRAMEF25,AA792892,ENSG00000229571
ENSMUSG00000095505,PRAMEF4,AA792892,ENSG00000243073
ENSMUSG00000095505,PRAMEF6,AA792892,ENSG00000232423
ENSMUSG00000095505,PRAMEF12,AA792892,ENSG00000116726
ENSMUSG00000095505,PRAMEF26,AA792892,ENSG00000280267
ENSMUSG00000095505,PRAMEF5,AA792892,ENSG00000270601
ENSMUSG00000095505,PRAMEF27,AA792892,ENSG00000274764
ENSMUSG00000095505,PRAMEF11,AA792892,ENSG00000239810
ENSMUSG00000095505,PRAMEF10,AA792892,ENSG00000187545
ENSMUSG00000095505,PRAMEF7,AA792892,ENSG00000204510
ENSMUSG00000095505,PRAMEF14,AA792892,ENSG00000204481
ENSMUSG00000095505,PRAMEF9,AA792892,ENSG00000204505
ENSMUSG00000095505,PRAMEF19,AA792892,ENSG00000204480
ENSMUSG00000095505,PRAMEF15,AA792892,ENSG00000204501
ENSMUSG00000095505,PRAMEF17,AA792892,ENSG00000204479
ENSMUSG00000095505,PRAMEF33,AA792892,ENSG00000237700
ENSMUSG00000095505,PRAMEF18,AA792892,ENSG00000279804
ENSMUSG00000095505,PRAMEF1,AA792892,ENSG00000116721
ENSMUSG00000095505,PRAMEF8,AA792892,ENSG00000182330
ENSMUSG00000095505,PRAMEF2,AA792892,ENSG00000120952
ENSMUSG00000095505,PRAMEF20,AA792892,ENSG00000204478
ENSMUSG00000095505,PRAMEF13,AA792892,ENSG00000279169
ENSMUSG00000079190,,,
ENSMUSG00000095450,,,
ENSMUSG00000094474,PRAMEF25,,ENSG00000229571
ENSMUSG00000094474,PRAMEF4,,ENSG00000243073
ENSMUSG00000094474,PRAMEF6,,ENSG00000232423
ENSMUSG00000094474,PRAMEF12,,ENSG00000116726
ENSMUSG00000094474,PRAMEF26,,ENSG00000280267
ENSMUSG00000094474,PRAMEF5,,ENSG00000270601
ENSMUSG00000094474,PRAMEF27,,ENSG00000274764
ENSMUSG00000094474,PRAMEF11,,ENSG00000239810
ENSMUSG00000094474,PRAMEF10,,ENSG00000187545
ENSMUSG00000094474,PRAMEF7,,ENSG00000204510
ENSMUSG00000094474,PRAMEF14,,ENSG00000204481
ENSMUSG00000094474,PRAMEF9,,ENSG00000204505
ENSMUSG00000094474,PRAMEF19,,ENSG00000204480
ENSMUSG00000094474,PRAMEF15,,ENSG00000204501
ENSMUSG00000094474,PRAMEF17,,ENSG00000204479
ENSMUSG00000094474,PRAMEF33,,ENSG00000237700
ENSMUSG00000094474,PRAMEF18,,ENSG00000279804
ENSMUSG00000094474,PRAMEF1,,ENSG00000116721
ENSMUSG00000094474,PRAMEF8,,ENSG00000182330
ENSMUSG00000094474,PRAMEF2,,ENSG00000120952
ENSMUSG00000094474,PRAMEF20,,ENSG00000204478
ENSMUSG00000094474,PRAMEF13,,ENSG00000279169
ENSMUSG00000095570,PRAMEF25,,ENSG00000229571
ENSMUSG00000095570,PRAMEF4,,ENSG00000243073
ENSMUSG00000095570,PRAMEF6,,ENSG00000232423
ENSMUSG00000095570,PRAMEF12,,ENSG00000116726
ENSMUSG00000095570,PRAMEF26,,ENSG00000280267
ENSMUSG00000095570,PRAMEF5,,ENSG00000270601
ENSMUSG00000095570,PRAMEF27,,ENSG00000274764
ENSMUSG00000095570,PRAMEF11,,ENSG00000239810
ENSMUSG00000095570,PRAMEF10,,ENSG00000187545
ENSMUSG00000095570,PRAMEF7,,ENSG00000204510
ENSMUSG00000095570,PRAMEF14,,ENSG00000204481
ENSMUSG00000095570,PRAMEF9,,ENSG00000204505
ENSMUSG00000095570,PRAMEF19,,ENSG00000204480
ENSMUSG00000095570,PRAMEF15,,ENSG00000204501
ENSMUSG00000095570,PRAMEF17,,ENSG00000204479
ENSMUSG00000095570,PRAMEF33,,ENSG00000237700
ENSMUSG00000095570,PRAMEF18,,ENSG00000279804
ENSMUSG00000095570,PRAMEF1,,ENSG00000116721
ENSMUSG00000095570,PRAMEF8,,ENSG00000182330
ENSMUSG00000095570,PRAMEF2,,ENSG00000120952
ENSMUSG00000095570,PRAMEF20,,ENSG00000204478
ENSMUSG00000095570,PRAMEF13,,ENSG00000279169
ENSMUSG00000094728,,,
ENSMUSG00000094514,SP100,,ENSG00000067066
ENSMUSG00000062783,,Csprs,
ENSMUSG00000094791,PRAMEF25,,ENSG00000229571
ENSMUSG00000094791,PRAMEF4,,ENSG00000243073
ENSMUSG00000094791,PRAMEF6,,ENSG00000232423
ENSMUSG00000094791,PRAMEF12,,ENSG00000116726
ENSMUSG00000094791,PRAMEF26,,ENSG00000280267
ENSMUSG00000094791,PRAMEF5,,ENSG00000270601
ENSMUSG00000094791,PRAMEF27,,ENSG00000274764
ENSMUSG00000094791,PRAMEF11,,ENSG00000239810
ENSMUSG00000094791,PRAMEF10,,ENSG00000187545
ENSMUSG00000094791,PRAMEF7,,ENSG00000204510
ENSMUSG00000094791,PRAMEF14,,ENSG00000204481
ENSMUSG00000094791,PRAMEF9,,ENSG00000204505
ENSMUSG00000094791,PRAMEF19,,ENSG00000204480
ENSMUSG00000094791,PRAMEF15,,ENSG00000204501
ENSMUSG00000094791,PRAMEF17,,ENSG00000204479
ENSMUSG00000094791,PRAMEF33,,ENSG00000237700
ENSMUSG00000094791,PRAMEF18,,ENSG00000279804
ENSMUSG00000094791,PRAMEF1,,ENSG00000116721
ENSMUSG00000094791,PRAMEF8,,ENSG00000182330
ENSMUSG00000094791,PRAMEF2,,ENSG00000120952
ENSMUSG00000094791,PRAMEF20,,ENSG00000204478
ENSMUSG00000094791,PRAMEF13,,ENSG00000279169
ENSMUSG00000096728,PRAMEF25,,ENSG00000229571
ENSMUSG00000096728,PRAMEF4,,ENSG00000243073
ENSMUSG00000096728,PRAMEF6,,ENSG00000232423
ENSMUSG00000096728,PRAMEF12,,ENSG00000116726
ENSMUSG00000096728,PRAMEF26,,ENSG00000280267
ENSMUSG00000096728,PRAMEF5,,ENSG00000270601
ENSMUSG00000096728,PRAMEF27,,ENSG00000274764
ENSMUSG00000096728,PRAMEF11,,ENSG00000239810
ENSMUSG00000096728,PRAMEF10,,ENSG00000187545
ENSMUSG00000096728,PRAMEF7,,ENSG00000204510
ENSMUSG00000096728,PRAMEF14,,ENSG00000204481
ENSMUSG00000096728,PRAMEF9,,ENSG00000204505
ENSMUSG00000096728,PRAMEF19,,ENSG00000204480
ENSMUSG00000096728,PRAMEF15,,ENSG00000204501
ENSMUSG00000096728,PRAMEF17,,ENSG00000204479
ENSMUSG00000096728,PRAMEF33,,ENSG00000237700
ENSMUSG00000096728,PRAMEF18,,ENSG00000279804
ENSMUSG00000096728,PRAMEF1,,ENSG00000116721
ENSMUSG00000096728,PRAMEF8,,ENSG00000182330
ENSMUSG00000096728,PRAMEF2,,ENSG00000120952
ENSMUSG00000096728,PRAMEF20,,ENSG00000204478
ENSMUSG00000096728,PRAMEF13,,ENSG00000279169
ENSMUSG00000096550,PRAMEF25,Gm16367,ENSG00000229571
ENSMUSG00000096550,PRAMEF4,Gm16367,ENSG00000243073
ENSMUSG00000096550,PRAMEF6,Gm16367,ENSG00000232423
ENSMUSG00000096550,PRAMEF12,Gm16367,ENSG00000116726
ENSMUSG00000096550,PRAMEF26,Gm16367,ENSG00000280267
ENSMUSG00000096550,PRAMEF5,Gm16367,ENSG00000270601
ENSMUSG00000096550,PRAMEF27,Gm16367,ENSG00000274764
ENSMUSG00000096550,PRAMEF11,Gm16367,ENSG00000239810
ENSMUSG00000096550,PRAMEF10,Gm16367,ENSG00000187545
ENSMUSG00000096550,PRAMEF7,Gm16367,ENSG00000204510
ENSMUSG00000096550,PRAMEF14,Gm16367,ENSG00000204481
ENSMUSG00000096550,PRAMEF9,Gm16367,ENSG00000204505
ENSMUSG00000096550,PRAMEF19,Gm16367,ENSG00000204480
ENSMUSG00000096550,PRAMEF15,Gm16367,ENSG00000204501
ENSMUSG00000096550,PRAMEF17,Gm16367,ENSG00000204479
ENSMUSG00000096550,PRAMEF33,Gm16367,ENSG00000237700
ENSMUSG00000096550,PRAMEF18,Gm16367,ENSG00000279804
ENSMUSG00000096550,PRAMEF1,Gm16367,ENSG00000116721
ENSMUSG00000096550,PRAMEF8,Gm16367,ENSG00000182330
ENSMUSG00000096550,PRAMEF2,Gm16367,ENSG00000120952
ENSMUSG00000096550,PRAMEF20,Gm16367,ENSG00000204478
ENSMUSG00000096550,PRAMEF13,Gm16367,ENSG00000279169
ENSMUSG00000096808,,,
ENSMUSG00000094172,PRAMEF25,,ENSG00000229571
ENSMUSG00000094172,PRAMEF4,,ENSG00000243073
ENSMUSG00000094172,PRAMEF6,,ENSG00000232423
ENSMUSG00000094172,PRAMEF12,,ENSG00000116726
ENSMUSG00000094172,PRAMEF26,,ENSG00000280267
ENSMUSG00000094172,PRAMEF5,,ENSG00000270601
ENSMUSG00000094172,PRAMEF27,,ENSG00000274764
ENSMUSG00000094172,PRAMEF11,,ENSG00000239810
ENSMUSG00000094172,PRAMEF10,,ENSG00000187545
ENSMUSG00000094172,PRAMEF7,,ENSG00000204510
ENSMUSG00000094172,PRAMEF14,,ENSG00000204481
ENSMUSG00000094172,PRAMEF9,,ENSG00000204505
ENSMUSG00000094172,PRAMEF19,,ENSG00000204480
ENSMUSG00000094172,PRAMEF15,,ENSG00000204501
ENSMUSG00000094172,PRAMEF17,,ENSG00000204479
ENSMUSG00000094172,PRAMEF33,,ENSG00000237700
ENSMUSG00000094172,PRAMEF18,,ENSG00000279804
ENSMUSG00000094172,PRAMEF1,,ENSG00000116721
ENSMUSG00000094172,PRAMEF8,,ENSG00000182330
ENSMUSG00000094172,PRAMEF2,,ENSG00000120952
ENSMUSG00000094172,PRAMEF20,,ENSG00000204478
ENSMUSG00000094172,PRAMEF13,,ENSG00000279169
ENSMUSG00000094887,PRAMEF25,,ENSG00000229571
ENSMUSG00000094887,PRAMEF4,,ENSG00000243073
ENSMUSG00000094887,PRAMEF6,,ENSG00000232423
ENSMUSG00000094887,PRAMEF12,,ENSG00000116726
ENSMUSG00000094887,PRAMEF26,,ENSG00000280267
ENSMUSG00000094887,PRAMEF5,,ENSG00000270601
ENSMUSG00000094887,PRAMEF27,,ENSG00000274764
ENSMUSG00000094887,PRAMEF11,,ENSG00000239810
ENSMUSG00000094887,PRAMEF10,,ENSG00000187545
ENSMUSG00000094887,PRAMEF7,,ENSG00000204510
ENSMUSG00000094887,PRAMEF14,,ENSG00000204481
ENSMUSG00000094887,PRAMEF9,,ENSG00000204505
ENSMUSG00000094887,PRAMEF19,,ENSG00000204480
ENSMUSG00000094887,PRAMEF15,,ENSG00000204501
ENSMUSG00000094887,PRAMEF17,,ENSG00000204479
ENSMUSG00000094887,PRAMEF33,,ENSG00000237700
ENSMUSG00000094887,PRAMEF18,,ENSG00000279804
ENSMUSG00000094887,PRAMEF1,,ENSG00000116721
ENSMUSG00000094887,PRAMEF8,,ENSG00000182330
ENSMUSG00000094887,PRAMEF2,,ENSG00000120952
ENSMUSG00000094887,PRAMEF20,,ENSG00000204478
ENSMUSG00000094887,PRAMEF13,,ENSG00000279169
ENSMUSG00000091585,PRAMEF25,,ENSG00000229571
ENSMUSG00000091585,PRAMEF4,,ENSG00000243073
ENSMUSG00000091585,PRAMEF6,,ENSG00000232423
ENSMUSG00000091585,PRAMEF12,,ENSG00000116726
ENSMUSG00000091585,PRAMEF26,,ENSG00000280267
ENSMUSG00000091585,PRAMEF5,,ENSG00000270601
ENSMUSG00000091585,PRAMEF27,,ENSG00000274764
ENSMUSG00000091585,PRAMEF11,,ENSG00000239810
ENSMUSG00000091585,PRAMEF10,,ENSG00000187545
ENSMUSG00000091585,PRAMEF7,,ENSG00000204510
ENSMUSG00000091585,PRAMEF14,,ENSG00000204481
ENSMUSG00000091585,PRAMEF9,,ENSG00000204505
