"","orig.ident","nCount_RNA","nFeature_RNA","sample_id","sample_type","organism","donor","sex","age_days","eye_condition","genotype","driver_lines","reporter_lines","brain_hemisphere","brain_region","brain_subregion","injection_label_direction","injection_primary","injection_secondary","injection_tract","injection_material","injection_exclusion_criterion","facs_date","facs_container","facs_sort_criteria","rna_amplification_set","library_prep_set","library_prep_avg_size_bp","seq_name","seq_tube","seq_batch","total_reads","percent_exon_reads","percent_intron_reads","percent_intergenic_reads","percent_rrna_reads","percent_mt_exon_reads","percent_reads_unique","percent_synth_reads","percent_ecoli_reads","percent_aligned_reads_total","complexity_cg","genes_detected_cpm_criterion","genes_detected_fpkm_criterion","tdt_cpm","gfp_cpm","class","subclass","cluster","confusion_score","cluster_correlation","core_intermediate_call","id_raw","cell_type","dbscan_filter","id_new","coord_x","coord_y"
"F2S4_170605_007_E01","F2S4",2118241,9225,599672445,"Cells","Mus musculus",323342,"M",55,"Normal","Ctgf-T2A-dgCre/wt;Snap25-LSL-F2A-GFP/wt","Ctgf-T2A-dgCre","Snap25-LSL-F2A-GFP","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/5/2017","F2S4_170605_007","GFP-positive","A8S4_170607_07","L8S4_170612_03_E06",495,"SM-DAIFO_S45_E1-50","SM-DAIFO","R8S4-170621",3144539,81.179987493286,14.5615892821564,4.25842322455758,0.111017863,9.54e-05,84.90246106,0.001165513,0.001324518,100,0.349496953,10524,9409,0.32,0.32,"Glutamatergic","L6b","L6b P2ry12",0.1153,0.88949249,"Core","F2S4_170605_007_E01","L6b",2,"F2S4_170605_007_E01",2736.31604665976,5702.18862491955
"F2S4_170605_017_E01","F2S4",2528163,10269,599671859,"Cells","Mus musculus",323343,"M",55,"Normal","Ctgf-T2A-dgCre/wt;Snap25-LSL-F2A-GFP/wt","Ctgf-T2A-dgCre","Snap25-LSL-F2A-GFP","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/5/2017","F2S4_170605_017","GFP-positive","A8S4_170607_06","L8S4_170612_02_E12",392,"SM-DAIFN_S93_E1-50","SM-DAIFN","R8S4-170621",3532608,85.3526732004541,11.0736994542835,3.5736273452624,0.117703408,0.000311385,85.38425435,0.002440973,0.001536259,95.81988718,0.354700878,11518,10444,0,0,"Glutamatergic","L6b","L6b VISp Mup5",0.8004,0.898535175,"Intermediate","F2S4_170605_017_E01","L6b",1,"F2S4_170605_017_E01",2700.26176511383,5684.86555411189
"F2S4_160126_023_F01","F2S4",1220127,10279,527140070,"Cells","Mus musculus",227236,"M",56,"EYE: Cataracts (R)","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/26/2016","F2S4_160126_023","RFP-positive","A8S4_160218_02","L8S4_160225_02_F11",399,"LS-15016_S86_E1-50","LS-15016","R8S4-160308",1983413,76.0661362741923,19.3420065229842,4.59185720282344,0.103659702,0.000352927,82.90265315,0.004049081,0.038601139,92.61923765,0.36421557,11483,10451,185.03,185.03,"Glutamatergic","L5 IT","L5 IT VISp Whrn Tox2",0.8203,0.888698782,"Core","F2S4_160126_023_F01","L5 IT",1,"F2S4_160126_023_F01",1505.76554981083,6632.54377139952
"F2S4_160115_009_B01","F2S4",1470184,7756,527130076,"Cells","Mus musculus",226054,"M",54,"Normal","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Gad2-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/15/2016","F2S4_160115_009","RFP-positive","A8S4_160203_01","L8S4_160211_01_B10",517,"LS-15008_S74_E1-50","LS-15008","R8S4-160225",2621200,71.5893166122365,23.1153867629921,5.29529662477143,0.128071112,0.000419655,80.74477339,0.005504349,0.028689532,91.80165573,0.358713829,9365,7907,137.72,137.72,"GABAergic","Vip","Vip Pygm C1ql1",0.6681,0.807060537,"Core","F2S4_160115_009_B01","Vip",1,"F2S4_160115_009_B01",3767.34069133049,554.974915712863
"F2S4_160127_003_A01","F2S4",1890124,8062,527145504,"Cells","Mus musculus",227800,"M",54,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/27/2016","F2S4_160127_003","RFP-positive","A8S4_160303_02","L8S4_160308_03_A02",540,"LS-15025_S09_E1-50","LS-15025","R8S4-160328",3123961,80.0025084762731,15.894921899142,4.10256962458493,0.171993184,0.000416138,77.33140715,0.004327839,0.078046109,88.97534252,0.392935905,9445,8210,277.21,277.21,"GABAergic","Vip","Vip Chat Htr1f",0.3045,0.833316856,"Intermediate","F2S4_160127_003_A01","Vip",1,"F2S4_160127_003_A01",3770.12740712305,475.091105797934
"F2S4_160419_002_E01","F2S4",1328839,6033,522732614,"Cells","Mus musculus",239954,"F",59,"Normal","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Gad2-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L1","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/19/2016","F2S4_160419_002","RFP-positive","A8S4_160426_03","L8S4_160505_01_E01",432,"LS-15081_S05_E1-50","LS-15081","R8S4-160520",2022467,79.678155703276,16.7222744871757,3.5995698095483,0.208112172,0.000395557,84.45591448,0.004145432,0.015562182,94.55447234,0.352594827,7052,6168,469.72,469.72,"GABAergic","Vip","Vip Crispld2 Htr2c",0.7368,0.816071112,"Intermediate","F2S4_160419_002_E01","Vip",1,"F2S4_160419_002_E01",3805.44090429323,534.645900422399
"F2S4_160502_003_E01","F2S4",1645883,7992,523739512,"Cells","Mus musculus",242313,"M",59,"Normal","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Slc32a1-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","5/2/2016","F2S4_160502_003","RFP-positive","A8S4_160511_03","L8S4_160517_03_E06",466,"LS-15300_S45_E1-50","LS-15300","R8S4-160527",2778985,75.1782508130795,20.0340333554282,4.78771583149234,0.14249807,0.000143937,80.56826503,0.002023041,0.009321749,89.97788761,0.341015827,9349,8165,230.3,230.3,"GABAergic","Vip","Vip Chat Htr1f",0.1665,0.829244885,"Core","F2S4_160502_003_E01","Vip",1,"F2S4_160502_003_E01",3770.37695489535,515.090327364226
"F2S4_160114_019_H01","F2S4",1352972,7381,527130064,"Cells","Mus musculus",226022,"M",53,"Normal","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Slc32a1-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/14/2016","F2S4_160114_019","RFP-positive","A8S4_160203_01","L8S4_160211_01_H09",492,"LS-15008_S72_E1-50","LS-15008","R8S4-160225",2836681,59.743466301125,33.7899099069806,6.46662379189448,0.156697211,0.000105757,83.69608708,0.006287277,0.03526974,91.60596486,0.329719048,9009,7537,115.28,115.28,"GABAergic","Vip","Vip Ptprt Pkp2",0.216,0.781356036,"Core","F2S4_160114_019_H01","Vip",1,"F2S4_160114_019_H01",5222.96223776657,1758.76368742258
"F2S4_161004_012_G01","F2S4",1761269,9406,568051052,"Cells","Mus musculus",273282,"M",57,"Normal","Trib2-F2A-CreERT2/wt;Snap25-LSL-F2A-GFP/wt","Trib2-F2A-CreERT2","Snap25-LSL-F2A-GFP","L","VISp","L1-L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","10/4/2016","F2S4_161004_012","GFP-positive","A8S4_170109_01","L8S4_170112_06_G04",573,"SM-D9CY7_S31_E1-50","SM-D9CY7","R8S4-170125",2826410,74.9523871070747,19.3995401936115,5.64807269931378,0.111873366,7.08e-05,85.91955873,0.004762225,0.001332432,95.45865603,0.337281646,10863,9641,0,0,"Glutamatergic","L2/3 IT","L2/3 IT VISp Agmat",0.0894,0.860851846,"Core","F2S4_161004_012_G01","L2/3 IT",1,"F2S4_161004_012_G01",1879.8250184365,3433.98666340102
"F2S4_161129_005_B01","F2S4",1931648,10444,563198055,"Cells","Mus musculus",284144,"M",54,"Normal","Ai14(RCL-tdT)/wt","","Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","AUDd","PTLp, VISal, AUDd","none","AAV2-retro-EF1a-Cre","Inj_Site_Dissected","11/29/2016","F2S4_161129_005","RFP-positive","A8S4_161202_01","L8S4_161208_01_B09",364,"LS-15921_S66_E1-50","LS-15921","R8S4-161221",2678280,86.7227420358901,9.10986042099226,4.16739754311759,0.094351599,0.009707723,84.71743059,0.00496774,0.003574309,95.18078767,0.359013141,11494,10539,291.61,291.61,"Glutamatergic","L2/3 IT","L2/3 IT VISp Agmat",0.0894,0.886440343,"Core","F2S4_161129_005_B01","L2/3 IT",1,"F2S4_161129_005_B01",1847.69396493049,3388.26800679898
"F1S4_161209_001_G01","F1S4",2088340,10071,566715245,"Cells","Mus musculus",285675,"M",55,"Normal","Ntsr1-Cre_GN22/wt;Ai14(RCL-tdT)/wt","Ntsr1-Cre_GN220","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","12/9/2016","F1S4_161209_001","RFP-positive","A8S4_161216_01","L8S4_161221_04_G02",380,"SM-D9CXO_S15_E1-50","SM-D9CXO","R8S4-170111",2895746,86.58089435928,9.74300949251397,3.67609614820609,0.166105729,0.000414401,84.63283727,0.003718904,0.001613747,94.06315333,0.348047297,11258,10194,339.46,339.46,"Glutamatergic","L6 CT","L6 CT VISp Ctxn3 Sla",0.1687,0.897632492,"Core","F1S4_161209_001_G01","L6 CT",1,"F1S4_161209_001_G01",2715.24505951034,4836.76539076291
"F2S4_160128_022_B01","F2S4",1551863,9839,527146742,"Cells","Mus musculus",227802,"M",55,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/28/2016","F2S4_160128_022","RFP-positive","A8S4_160310_03","L8S4_160317_02_B05",588,"LS-15032_S34_E1-50","LS-15032","R8S4-160328",2349347,82.0666891478243,13.8908360322541,4.0424748199216,0.130717174,0.00017026,82.15810606,0.003655909,0.040197978,92.50804585,0.377723349,10941,10027,268.16,268.16,"Glutamatergic","L6 CT","L6 CT VISp Ctxn3 Sla",0.2461,0.907405691,"Core","F2S4_160128_022_B01","L6 CT",1,"F2S4_160128_022_B01",2702.3336057258,4874.62426503527
"F2S4_160304_019_D01","F2S4",1450043,6926,527151283,"Cells","Mus musculus",233280,"M",55,"Normal","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Gad2-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/4/2016","F2S4_160304_019","RFP-positive","A8S4_160311_02","L8S4_160323_01_D12",534,"LS-15038_S92_E1-50","LS-15038","R8S4-160405-M",2717782,66.7214134650513,28.4915223374456,4.78706419750314,0.242035601,0.000147179,82.62211612,0.00240895,0.012899857,92.53475812,0.338243977,8410,7060,204.95,204.95,"GABAergic","Vip","Vip Crispld2 Htr2c",0.4425,0.829522495,"Core","F2S4_160304_019_D01","Vip",1,"F2S4_160304_019_D01",3768.86605690809,935.831722363053
"F2S4_160404_012_E01","F2S4",1381060,4085,519594800,"Cells","Mus musculus",237585,"M",58,"Normal","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Gad2-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/4/2016","F2S4_160404_012","RFP-positive","A8S4_160407_01","L8S4_160414_03_E10",538,"LS-15060_S77_E1-50","LS-15060","R8S4-160504",2593023,68.6692196117763,26.5543847910505,4.77639559717323,0.08033095,3.86e-05,81.06946988,0.005832189,0.018313374,93.13199304,0.347359956,6025,4205,26.61,26.61,"Non-Neuronal","Astro","Astro Aqp4",0,0.704401264,"Core","F2S4_160404_012_E01","Astro",1,"F2S4_160404_012_E01",5728.11214976818,1489.59518379742
"F2S4_160405_026_E01","F2S4",1627039,5250,519596925,"Cells","Mus musculus",237583,"M",59,"Normal","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Gad2-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/5/2016","F2S4_160405_026","RFP-positive","A8S4_160408_01","L8S4_160415_02_E08",425,"LS-15063_S61_E1-50","LS-15063","R8S4-160504",2817194,71.954239368567,23.2281956637792,4.81756496765372,0.096762949,0.008306137,82.853577,0.007539417,0.013807001,92.79549083,0.351641206,7578,5396,469.97,469.97,"Non-Neuronal","Astro","Astro Aqp4",0,0.721446748,"Core","F2S4_160405_026_E01","Astro",1,"F2S4_160405_026_E01",5656.69254383744,1467.84190924475
"F2S4_160414_010_F01","F2S4",2156859,9333,521593492,"Cells","Mus musculus",240557,"M",54,"Normal","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Slc32a1-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L1","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/14/2016","F2S4_160414_010","RFP-positive","A8S4_160418_02","L8S4_160427_02_F11",397,"LS-15074_S86_E1-50","LS-15074","R8S4-160513",3024996,86.101513180925,10.2739728706159,3.62451394845913,0.14085969,0.000561984,84.41336782,0.002585458,0.006533232,94.94323298,0.349292899,10483,9435,217.52,217.52,"GABAergic","Lamp5","Lamp5 Plch2 Dock5",0.0518,0.865619733,"Core","F2S4_160414_010_F01","Lamp5",1,"F2S4_160414_010_F01",1718.40264752815,6492.09012076725
"F2S4_160429_001_B01","F2S4",1949419,8917,523734834,"Cells","Mus musculus",242314,"F",56,"Normal","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Slc32a1-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L1","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/29/2016","F2S4_160429_001","RFP-positive","A8S4_160509_01","L8S4_160513_03_B03",504,"LS-15095_S18_E1-50","LS-15095","R8S4-160527",2917780,78.9559419356639,16.6418115323454,4.4022465319907,0.184935122,0.000342726,86.64059662,0.002158148,0.008016711,96.10820555,0.337815307,10157,9096,236.14,236.14,"GABAergic","Lamp5","Lamp5 Ntn1 Npy2r",0.1555,0.855017099,"Core","F2S4_160429_001_B01","Lamp5",1,"F2S4_160429_001_B01",1770.33031549706,6496.93870712334
"F2S4_171122_007_F01","F2S4",781408,7612,656525758,"Cells","Mus musculus",358891,"M",55,"Normal","Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt","Ndnf-IRES2-dgCre|Slc32a1-IRES2-FlpO","Ai65(RCFL-tdT)","L","VISp","L1-L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","11/22/2017","F2S4_171122_007","RFP-positive","A8S4_171127_06","L8S4_171201_01_F10",365,"SM-GE666_S174_E1-50","SM-GE666","R8S4-171214",1082918,86.2781523448265,10.0552762508491,3.66657140432442,0.162431505,0.000277029,85.2995333,2.98e-05,1.98e-05,95.4665081,0.368597586,8487,7745,170.83,170.83,"GABAergic","Lamp5","Lamp5 Plch2 Dock5",0.5628,0.824387671,"Intermediate","F2S4_171122_007_F01","Lamp5",1,"F2S4_171122_007_F01",1741.38775275171,6524.82672013037
"F2S4_160126_035_D01","F2S4",1467699,9315,527143557,"Cells","Mus musculus",227236,"M",56,"EYE: Cataracts (R)","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/26/2016","F2S4_160126_035","RFP-positive","A8S4_160303_01","L8S4_160308_02_D09",542,"LS-15024_S68_E1-50","LS-15024","R8S4-160321-M",2283224,81.2415378057778,14.0344438589297,4.72401833529247,0.134502791,0.000306584,81.03195306,0.003799014,0.033457076,92.62411397,0.372196144,10501,9495,262.79,262.79,"Glutamatergic","L6 CT","L6 CT VISp Nxph2 Wls",0.0074,0.875390766,"Core","F2S4_160126_035_D01","L6 CT",1,"F2S4_160126_035_D01",2450.01025061912,5817.21231343483
"F2S4_180110_047_B01","F2S4",833506,10113,660545848,"Cells","Mus musculus",366890,"F",59,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","R","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/10/2018","F2S4_180110_047","RFP-positive","A8S4_180111_10","L8S4_180118_03_B04",365,"SM-GE676_S122_E1-50","SM-GE676","R8S4-180124",1324859,74.3872986464212,20.7999441413113,4.81275721226755,0.101142839,0.000150959,86.4775044,0.003504524,0.002641791,95.30704777,0.339278149,11112,10277,170.58,170.58,"Glutamatergic","L5 IT","L5 IT VISp Hsd11b1 Endou",0.1596,0.899980772,"Intermediate","F2S4_180110_047_B01","L5 IT",1,"F2S4_180110_047_B01",2450.76412024033,2938.59534186637
"F2S4_160616_009_E01","F2S4",1434141,8713,535958488,"Cells","Mus musculus",250953,"F",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","R","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/16/2016","F2S4_160616_009","RFP-positive","A8S4_160620_04","L8S4_160701_01_E11",456,"LS-15353_S85_E1-50","LS-15353","R8S4-160712",2280088,74.6286942301041,21.146617163156,4.22468860673991,0.086970327,0.000175432,86.48907411,0.002633232,0.005199361,95.93752522,0.329458391,9836,8883,326.3,326.3,"Glutamatergic","L5 IT","L5 IT VISp Hsd11b1 Endou",0.1204,0.863294,"Core","F2S4_160616_009_E01","L5 IT",1,"F2S4_160616_009_E01",1737.25779782424,5527.94666369135
