"","orig.ident","nCount_RNA","nFeature_RNA","sample_id","sample_type","organism","donor","sex","age_days","eye_condition","genotype","driver_lines","reporter_lines","brain_hemisphere","brain_region","brain_subregion","injection_label_direction","injection_primary","injection_secondary","injection_tract","injection_material","injection_exclusion_criterion","facs_date","facs_container","facs_sort_criteria","rna_amplification_set","library_prep_set","library_prep_avg_size_bp","seq_name","seq_tube","seq_batch","total_reads","percent_exon_reads","percent_intron_reads","percent_intergenic_reads","percent_rrna_reads","percent_mt_exon_reads","percent_reads_unique","percent_synth_reads","percent_ecoli_reads","percent_aligned_reads_total","complexity_cg","genes_detected_cpm_criterion","genes_detected_fpkm_criterion","tdt_cpm","gfp_cpm","class","subclass","cluster","confusion_score","cluster_correlation","core_intermediate_call","id_raw","cell_type","dbscan_filter","id_new","coord_x","coord_y","CC_1","CC_2","CC_3"
"F2S4_160622_004_F01","F2S4",1504540,9460,535903219,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_004","RFP-positive","A8S4_160627_01","L8S4_160706_03_F04",NA,"LS-15359_S30_E1-50","LS-15359","R8S4-160715",2446049,73.430016327176,21.8930186437015,4.67696502912255,0.109687091,0.004824106,86.16806123,0.00179514,0.004934897,95.56370293,0.324951611,10783,9670,172.11,172.11,"Glutamatergic","L5 IT","Batf3",0.1374,0.895728043,"Core","F2S4_160622_004_F01","L5 IT",1,"F2S4_160622_004_F01",2477.63002478945,3602.6999940156,0.120791550739641,-0.0386657469627322,0.444726931311359
"F2S4_161028_019_D01","F2S4",1710073,9241,559957225,"Cells","Mus musculus",278160,"M",55,"Normal","Tlx3-Cre_PL56/wt;Ai14(RCL-tdT)/wt","Tlx3-Cre_PL56","Ai14(RCL-tdT)","L","VISp","L4-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","10/28/2016","F2S4_161028_019","RFP-positive","A8S4_161031_05","L8S4_161109_02_D09",400,"SM-D9EP8_S68_E1-50","SM-D9EP8","R8S4-161116",2302348,89.2582019450752,7.09685362305872,3.64494443186607,0.121571543,0.000347471,84.66943312,0.003707954,0.004352079,96.21551564,0.37774646,10254,9394,235.85,235.85,"Glutamatergic","L5 IT","Batf3",0.1374,0.887082141,"Core","F2S4_161028_019_D01","L5 IT",1,"F2S4_161028_019_D01",2959.60320049749,2251.7919763832,0.00898515834197233,-0.0664352335895174,0.33744686315348
"F2S4_180110_065_B01","F2S4",640417,8975,660544171,"Cells","Mus musculus",366890,"F",59,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/10/2018","F2S4_180110_065","RFP-positive","A8S4_180111_08","L8S4_180118_01_B10",376,"SM-GE675_S170_E1-50","SM-GE675","R8S4-180124",872640,87.5394183706032,8.74680850706958,3.71377312232721,0.131096443,0.002979465,85.14289971,0.004076137,0.002276999,96.0100385,0.366182435,9775,9111,228.04,228.04,"Glutamatergic","L5 IT","Batf3",0.1374,0.88502125,"Core","F2S4_180110_065_B01","L5 IT",1,"F2S4_180110_065_B01",2926.90105982138,2228.75787133873,0.0138677543294727,-0.0585596415495893,0.292451929409154
"F2S4_160623_041_E01","F2S4",1496188,9023,539547814,"Cells","Mus musculus",252598,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/23/2016","F2S4_160623_041","RFP-positive","A8S4_160705_02","L8S4_160712_02_E01",391,"LS-15366_S05_E1-50","LS-15366","R8S4-160722",2230429,80.0531547459595,15.8151336671382,4.13171158690232,0.124908706,0.001120861,85.67966073,0.003191314,0.005565297,95.92912395,0.350407316,10190,9225,157.37,157.37,"Glutamatergic","L5 IT","Batf3",0.2985,0.882123842,"Core","F2S4_160623_041_E01","L5 IT",1,"F2S4_160623_041_E01",2348.02602677675,3404.1861557785,0.0394140908698389,0.0549718844081472,0.273912524083542
"F2S4_160622_010_F01","F2S4",1593724,11222,535903969,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_010","RFP-positive","A8S4_160628_01","L8S4_160706_04_F04",437,"LS-15360_S30_E1-50","LS-15360","R8S4-160715",2342080,80.5700453914481,15.3226026282309,4.1073519803209,0.150720727,0.001622489,86.14987532,0.001709591,0.003534465,96.00406476,0.336752482,12358,11474,199.82,199.82,"Glutamatergic","L5 IT","Batf3",0.4658,0.902458559,"Intermediate","F2S4_160622_010_F01","L5 IT",1,"F2S4_160622_010_F01",4982.37765912052,1756.67448660291,0.011620526962038,0.0288283370269787,0.381881687410033
"F2S4_161128_001_A01","F2S4",1788261,10174,563196189,"Cells","Mus musculus",284143,"M",53,"Normal","Ai14(RCL-tdT)/wt","","Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","RSP","RSP, VISam","none","AAV2-retro-EF1a-Cre","OK","11/28/2016","F2S4_161128_001","RFP-positive","A8S4_161130_03","L8S4_161207_05_A03",394,"LS-15920_S17_E1-50","LS-15920","R8S4-161221",2704180,80.7874637493062,14.5826980335935,4.62983821710027,0.101583474,0.000628656,83.55327678,0.003948702,0.00340362,94.17002566,0.344842858,11599,10358,210.78,210.78,"Glutamatergic","L5 IT","Batf3",0.1374,0.881666479,"Core","F2S4_161128_001_A01","L5 IT",1,"F2S4_161128_001_A01",3062.87821099122,2309.14898201366,0.0912794674156259,-0.049268455219425,0.325322208298627
"F2S4_161117_002_B01","F2S4",1605893,10852,562415288,"Cells","Mus musculus",281759,"M",55,"Normal","Ai11(RCL-FnGF-nT)/wt","","Ai110(RCL-FnGF-nT)","L","VISp","L1-L6","Retrograde","AUDd","PTLp, VISal, AUDd","none","RV-dGL-Cre","Inj_Site_Dissected","11/17/2016","F2S4_161117_002","GFP-positive","A8S4_161123_02","L8S4_161201_02_B05",413,"LS-15911_S34_E1-50","LS-15911","R8S4-161215",2401937,80.321443151526,15.3555143966489,4.32304245182509,0.131560486,0.001332258,84.75996664,0.001801879,0.003408499,95.14437723,0.340922039,12220,11055,12.49,12.49,"Glutamatergic","L5 IT","Batf3",0.6737,0.887862243,"Intermediate","F2S4_161117_002_B01","L5 IT",1,"F2S4_161117_002_B01",3419.77317006374,1943.87857133004,0.187813814908853,-0.00743554876747149,0.169064523716654
"F2S4_170116_008_D01","F2S4",1799069,8529,570285902,"Cells","Mus musculus",292251,"M",58,"Normal","Rorb-IRES2-Cre-neo/wt;Ai14(RCL-tdT)/wt","Rorb-IRES2-Cre-neo","Ai14(RCL-tdT)","L","VISp","L5-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/16/2017","F2S4_170116_008","RFP-positive","A8S4_170120_01","L8S4_170126_04_D08",434,"SM-D9CYT_S60_E1-50","SM-D9CYT","R8S4-170208",2573545,84.0387633020884,11.7066260189557,4.25461067895592,0.132035772,0.002914268,84.83636385,0.002627504,0.002319369,95.47285942,0.364825313,9637,8678,196.23,196.23,"Glutamatergic","L5 IT","Batf3",0.1374,0.869696834,"Core","F2S4_170116_008_D01","L5 IT",1,"F2S4_170116_008_D01",3422.07946784146,1983.81202836246,0.10527357512434,-0.07171666394982,0.365284369839804
"F2S4_160615_011_D01","F2S4",1627772,8871,535954371,"Cells","Mus musculus",250951,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/15/2016","F2S4_160615_011","RFP-positive","A8S4_160620_03","L8S4_160629_04_D07",402,"LS-15352_S52_E1-50","LS-15352","R8S4-160712",2455599,78.455751816801,17.0899521472724,4.45429603592654,0.157354682,0.001262421,86.54992122,0.00400106,0.004251101,96.04397949,0.336881056,10107,9045,370.58,370.58,"Glutamatergic","L5 IT","Col6a1 Fezf2",0.2108,0.875519347,"Core","F2S4_160615_011_D01","L5 IT",1,"F2S4_160615_011_D01",3622.97903666228,1812.37077290821,0.361283835009638,-0.0399251616551849,0.174077506890991
"F2S4_170123_001_A01","F2S4",2067051,11297,570291961,"Cells","Mus musculus",294008,"M",54,"Normal","Ai14(RCL-tdT)/wt","","Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","RSP","RSP","none","AAV2-retro-EF1a-Cre","Surface","1/23/2017","F2S4_170123_001","RFP-positive","A8S4_170125_01","L8S4_170201_05_A09",418,"SM-D9CZ2_S65_E1-50","SM-D9CZ2","R8S4-170209",2708394,89.7544213424652,6.70152457699395,3.5440540805409,0.140083016,0.0006646,86.20651205,0.002571635,0.000851058,95.96170277,0.354573004,12247,11483,266.58,266.58,"Glutamatergic","L5 IT","Col27a1",0.101,0.895666288,"Core","F2S4_170123_001_A01","L5 IT",1,"F2S4_170123_001_A01",3700.49419313006,1829.94315701182,0.29661537558539,-0.00163203416625723,-0.0473605859211469
"F2S4_170124_001_F01","F2S4",1925159,10705,570292066,"Cells","Mus musculus",294010,"M",55,"Normal","Ai14(RCL-tdT)/wt","","Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","RSP","RSP","none","AAV2-retro-EF1a-Cre","Inj_Site_Dissected","1/24/2017","F2S4_170124_001","RFP-positive","A8S4_170125_01","L8S4_170201_05_F10",417,"SM-D9CZ2_S78_E1-50","SM-D9CZ2","R8S4-170209",2677247,86.7263701130118,9.22924322241749,4.0443866645707,0.153254444,0.000261463,84.27548896,0.002747225,0.001225886,95.14228609,0.353381725,11816,10887,189.37,189.37,"Glutamatergic","L5 IT","Batf3",0.1101,0.881107944,"Core","F2S4_170124_001_F01","L5 IT",1,"F2S4_170124_001_F01",3662.74134458816,1816.72489589426,0.112777918076179,-0.040504825740043,0.307325473080965
"F2S4_160321_024_G01","F2S4",1994069,10812,527153989,"Cells","Mus musculus",236153,"M",53,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/21/2016","F2S4_160321_024","RFP-positive","A8S4_160329_03","L8S4_160405_03_G10",542,"LS-15049_S79_E1-50","LS-15049","R8S4-160411-M",3012027,79.6977306754739,15.954590894194,4.34767843033205,0.104813137,0.000962807,85.0486732,0.001583651,0.004746305,95.41152852,0.342777363,12164,11031,183.27,183.27,"Glutamatergic","L5 IT","Batf3",0.1374,0.901315445,"Core","F2S4_160321_024_G01","L5 IT",1,"F2S4_160321_024_G01",1628.14615735767,5861.14060344906,0.0432964229750861,-0.0180795664316938,0.348333636861504
"F2S4_160818_007_E01","F2S4",1101137,10287,551133169,"Cells","Mus musculus",264196,"F",56,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","8/18/2016","F2S4_160818_007","RFP-positive","A8S4_160901_02","L8S4_160908_03_E04",391,"LS-15544_S29_E1-50","LS-15544","R8S4-160916",1634330,79.6472740564282,15.7409615795549,4.61176436401696,0.150092087,0.001652053,86.45714146,0.001794007,0.002720381,96.25387774,0.329745442,11392,10545,204.98,204.98,"Glutamatergic","L5 IT","Batf3",0.1374,0.898405908,"Core","F2S4_160818_007_E01","L5 IT",1,"F2S4_160818_007_E01",1598.10633066879,5896.91101575357,0.0416657173607622,-0.0573908600016614,0.363308434511383
"F2S4_160615_009_F01","F2S4",2036027,10753,535949956,"Cells","Mus musculus",250951,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/15/2016","F2S4_160615_009","RFP-positive","A8S4_160620_02","L8S4_160629_03_F06",477,"LS-15351_S46_E1-50","LS-15351","R8S4-160712",2905850,82.8053589795237,13.1376966396898,4.05694438078654,0.112497204,0.000172067,86.33735396,0.001585767,0.002481546,96.79942186,0.342214567,11798,10974,249.15,249.15,"Glutamatergic","L5 IT","Whrn Tox2",0.3863,0.911375893,"Core","F2S4_160615_009_F01","L5 IT",1,"F2S4_160615_009_F01",3427.99667989072,1508.85529395605,-0.00865893634945208,0.0986073198315369,0.184202207321458
"F2S4_161028_016_F01","F2S4",1858978,9889,559957047,"Cells","Mus musculus",278160,"M",55,"Normal","Tlx3-Cre_PL56/wt;Ai14(RCL-tdT)/wt","Tlx3-Cre_PL56","Ai14(RCL-tdT)","L","VISp","L4-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","10/28/2016","F2S4_161028_016","RFP-positive","A8S4_161031_05","L8S4_161109_02_F06",433,"SM-D9EP8_S46_E1-50","SM-D9EP8","R8S4-161116",2559409,86.3804978494072,10.0848932273089,3.53460892328394,0.117175489,0.000937716,85.86294727,0.002618964,0.003313265,96.87279368,0.36617447,10894,10072,163.71,163.71,"Glutamatergic","L5 IT","Batf3",0.3904,0.889805467,"Intermediate","F2S4_161028_016_F01","L5 IT",1,"F2S4_161028_016_F01",3402.16920531047,1594.18066792272,-0.0333643551474643,0.00240355024964217,0.276095253054055
"F2S4_180110_066_A01","F2S4",752243,9741,660544255,"Cells","Mus musculus",366890,"F",59,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/10/2018","F2S4_180110_066","RFP-positive","A8S4_180111_08","L8S4_180118_01_A11",387,"SM-GE675_S177_E1-50","SM-GE675","R8S4-180124",1021553,86.9458540082751,9.34054991432953,3.71359607739535,0.130585491,0.000685231,86.01775924,0.003468249,0.002293567,96.26010594,0.360256412,10552,9896,146.84,146.84,"Glutamatergic","L5 IT","Batf3",0.3582,0.891218088,"Intermediate","F2S4_180110_066_A01","L5 IT",1,"F2S4_180110_066_A01",3440.18719175009,1547.08612177855,0.0108651669183424,0.0319142075649949,0.327282120155689
"F2S4_160615_010_B01","F2S4",1739405,9328,535953962,"Cells","Mus musculus",250951,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/15/2016","F2S4_160615_010","RFP-positive","A8S4_160620_03","L8S4_160629_04_B06",404,"LS-15352_S42_E1-50","LS-15352","R8S4-160712",2800729,74.0536507528305,20.8279645028962,5.11838474427327,0.084763645,0.000321345,86.23383412,0.002943519,0.007137427,95.76442419,0.337286372,10755,9536,271.71,271.71,"Glutamatergic","L5 IT","Batf3",0.1374,0.858184271,"Core","F2S4_160615_010_B01","L5 IT",1,"F2S4_160615_010_B01",2703.05076408911,2827.1179661379,-0.0209954824058016,-0.0339862820254595,0.383600834046999
"F2S4_160622_008_G01","F2S4",1566540,10429,535903849,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_008","RFP-positive","A8S4_160628_01","L8S4_160706_04_G02",437,"LS-15360_S15_E1-50","LS-15360","R8S4-160715",2407217,77.5032229148686,17.9343765344693,4.56240055066211,0.125913036,0.005400427,85.84419269,0.001682856,0.004763592,95.41823608,0.331382618,11642,10631,145.4,145.4,"Glutamatergic","L5 IT","Batf3",0.158,0.90209205,"Core","F2S4_160622_008_G01","L5 IT",1,"F2S4_160622_008_G01",2725.47776568542,2748.92375534359,-0.00653549685767851,0.03786853013804,0.352232680780496
"F2S4_160622_014_D01","F2S4",1825842,9257,535906922,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_014","RFP-positive","A8S4_160630_01","L8S4_160708_02_D02",439,"LS-15362_S12_E1-50","LS-15362","R8S4-160715",2654190,85.7850068524217,10.2773860338776,3.93760711370075,0.107113658,0.000150705,81.88279663,0.00255935,0.00381623,92.45977115,0.353515771,10277,9424,347.75,347.75,"Glutamatergic","L5 IT","Whrn Tox2",0.4834,0.893339382,"Core","F2S4_160622_014_D01","L5 IT",1,"F2S4_160622_014_D01",2677.75544400825,2795.38745556279,-0.0871522514358786,0.108565175243707,0.109727328222659
"F2S4_160624_021_F01","F2S4",1741211,9975,535908180,"Cells","Mus musculus",252599,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/24/2016","F2S4_160624_021","RFP-positive","A8S4_160630_01","L8S4_160708_02_F09",413,"LS-15362_S70_E1-50","LS-15362","R8S4-160715",2533990,81.5050574796151,14.1161014488015,4.37884107158342,0.094317657,0.005445957,86.18017435,0.001939234,0.002410033,96.27962226,0.340104724,11128,10154,211.52,211.52,"Glutamatergic","L5 IT","Batf3",0.1374,0.891054105,"Core","F2S4_160624_021_F01","L5 IT",1,"F2S4_160624_021_F01",2717.0731167212,2788.03081194196,-0.0461456403238515,0.0260526001609575,0.388343011745712
