gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	AVN_P_cell	AVN_bundle_cell	Adip1	Adip2	B	B_plasma	CD14+Mo	CD16+Mo	CD4+T_act	CD4+T_naive	CD8+T_te	CD8+T_trans	DC	EC10_CMC-like	EC1_cap	EC2_cap	EC3_cap	EC4_immune	EC5_art	EC6_ven	EC7_endocardial	EC8_ln	FB1	FB2	FB3	FB4_activated	FB5	FB6	LYVE1+IGF1+MP	LYVE1+MP_cycling	LYVE1+TIMD4+MP	Mast	MoMP	NC1_glial	NC2_glial_NGF+	NK_CD16hi	NK_CD56hi	PC1_vent	PC2_atria	PC3_str	PC4_CMC-like	SMC1_basic	SMC2_art	aCM1	aCM2	aCM3	aCM4	myocardium_ventricular	node	vCM1	vCM2	vCM4
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.003	0.0	0.006	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.002
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.003	0.0	0.006	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.002
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.003	0.0	0.006	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.002
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	0.068	0.156	0.011	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.016	0.0	0.014	0.005	0.012	0.01	0.005	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.046	0.11	0.067	0.012	0.064	0.0	0.0	0.017	0.018	0.015
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.037	0.022	0.12	0.072	0.0	0.0	0.118	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.011	0.016	0.0	0.0	0.003	0.011	0.016	0.0	0.0	0.022	0.02	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.014	0.021	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.033	0.034	0.009	0.009	0.009	0.011	0.05	0.011	0.016	0.018
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.037	0.022	0.12	0.072	0.0	0.0	0.118	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.011	0.016	0.0	0.0	0.003	0.011	0.016	0.0	0.0	0.022	0.02	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.014	0.021	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.033	0.034	0.009	0.009	0.009	0.011	0.05	0.011	0.016	0.018
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	0.037	0.022	0.12	0.072	0.0	0.0	0.118	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.011	0.016	0.0	0.0	0.003	0.011	0.016	0.0	0.0	0.022	0.02	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.014	0.021	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.033	0.034	0.009	0.009	0.009	0.011	0.05	0.011	0.016	0.018
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	0.037	0.022	0.12	0.072	0.0	0.0	0.118	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.011	0.016	0.0	0.0	0.003	0.011	0.016	0.0	0.0	0.022	0.02	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.014	0.021	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.033	0.034	0.009	0.009	0.009	0.011	0.05	0.011	0.016	0.018
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.143	0.048	0.38	0.437	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.11	0.091	0.026	0.054	0.0	0.061	0.101	0.231	0.095	0.115	0.139	0.111	0.149	0.151	0.151	0.089	0.091	0.025	0.0	0.053	0.078	0.118	0.012	0.0	0.081	0.074	0.073	0.273	0.129	0.147	0.087	0.083	0.037	0.07	0.135	0.2	0.125	0.114	0.112
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.143	0.048	0.38	0.437	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.11	0.091	0.026	0.054	0.0	0.061	0.101	0.231	0.095	0.115	0.139	0.111	0.149	0.151	0.151	0.089	0.091	0.025	0.0	0.053	0.078	0.118	0.012	0.0	0.081	0.074	0.073	0.273	0.129	0.147	0.087	0.083	0.037	0.07	0.135	0.2	0.125	0.114	0.112
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	0.012	0.022	0.088	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.009	0.022	0.006	0.006	0.008	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.012	0.0	0.005	0.012	0.014	0.006	0.008	0.002
CYP11A1	P05108	True	CP11A_HUMAN	Pregnenolone_byCYP11A1	CPI-CS06A285DD6	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.002	0.006	0.001	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.004	0.0	0.002
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	0.023	0.0	0.005	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.021	0.008	0.009	0.004	0.002	0.0	0.0	0.0	0.0	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.007	0.016	0.0	0.0	0.0	0.006	0.007	0.007
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.017	0.017	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.022	0.092	0.0	0.016	0.034	0.017	0.037	0.038	0.0	0.066	0.103	0.0	0.0	0.103	0.05	0.026	0.0	0.408	0.013	0.011	0.042	0.0	0.0	0.0	0.018	0.063	0.011	0.029	0.01	0.019	0.023	0.015	0.018
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.017	0.017	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.022	0.092	0.0	0.016	0.034	0.017	0.037	0.038	0.0	0.066	0.103	0.0	0.0	0.103	0.05	0.026	0.0	0.408	0.013	0.011	0.042	0.0	0.0	0.0	0.018	0.063	0.011	0.029	0.01	0.019	0.023	0.015	0.018
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.017	0.017	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.022	0.092	0.0	0.016	0.034	0.017	0.037	0.038	0.0	0.066	0.103	0.0	0.0	0.103	0.05	0.026	0.0	0.408	0.013	0.011	0.042	0.0	0.0	0.0	0.018	0.063	0.011	0.029	0.01	0.019	0.023	0.015	0.018
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.06	0.09	0.045	0.091	0.0	0.0	0.072	0.33	0.044	0.087	0.0	0.16	0.099	0.155	0.109	0.088	0.138	0.0	0.066	0.089	0.066	0.215	0.046	0.061	0.062	0.051	0.068	0.065	0.194	0.464	0.214	0.0	0.222	0.099	0.198	0.044	0.0	0.0	0.014	0.028	0.125	0.047	0.0	0.045	0.068	0.075	0.031	0.076	0.051	0.069	0.071	0.054
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.06	0.09	0.045	0.091	0.0	0.0	0.072	0.33	0.044	0.087	0.0	0.16	0.099	0.155	0.109	0.088	0.138	0.0	0.066	0.089	0.066	0.215	0.046	0.061	0.062	0.051	0.068	0.065	0.194	0.464	0.214	0.0	0.222	0.099	0.198	0.044	0.0	0.0	0.014	0.028	0.125	0.047	0.0	0.045	0.068	0.075	0.031	0.076	0.051	0.069	0.071	0.054
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.06	0.09	0.045	0.091	0.0	0.0	0.072	0.33	0.044	0.087	0.0	0.16	0.099	0.155	0.109	0.088	0.138	0.0	0.066	0.089	0.066	0.215	0.046	0.061	0.062	0.051	0.068	0.065	0.194	0.464	0.214	0.0	0.222	0.099	0.198	0.044	0.0	0.0	0.014	0.028	0.125	0.047	0.0	0.045	0.068	0.075	0.031	0.076	0.051	0.069	0.071	0.054
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.054	0.102	0.0	0.031	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.0	0.0	0.245	0.101	0.129	0.321	0.001	0.0	0.004	0.0	0.004
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	0.0	0.0	0.003	0.01	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.055	0.039	0.014	0.0	0.07	0.039	0.138	0.068	0.038	0.036	0.042	0.013	0.024	0.012	0.0	0.063	0.047	0.0	0.15	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.012	0.0	0.013	0.033	0.031	0.014	0.016	0.014
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	0.0	0.0	0.003	0.01	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.055	0.039	0.014	0.0	0.07	0.039	0.138	0.068	0.038	0.036	0.042	0.013	0.024	0.012	0.0	0.063	0.047	0.0	0.15	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.012	0.0	0.013	0.033	0.031	0.014	0.016	0.014
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.01	0.005	0.0	0.0	0.0	0.002	0.0	0.063	0.047	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002
