gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	#B16BA8	#F39426	B cells Memory	CAFs MSC iCAF-like	CAFs myCAF-like	Cancer Cycling	Cancer LumB SC	Cycling PVL	Cycling T-cells	Cycling_Myeloid	DCs	Endothelial ACKR1	Endothelial CXCL12	Endothelial Lymphatic LYVE1	Endothelial RGS5	Luminal Progenitors	Macrophage	Mature Luminal	Monocyte	Myoepithelial	NK cells	NKT cells	PVL Differentiated	PVL Immature	Plasmablasts	T cells CD4+	T cells CD8+
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	0.0	0.001	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.215	0.171	0.028	0.008	0.0	0.145	0.171	0.0	0.042	0.14	0.057	0.137	0.104	0.215	0.051	0.346	0.034	0.127	0.023	0.207	0.124	0.0	0.024	0.014	0.047	0.053	0.01
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.215	0.171	0.028	0.008	0.0	0.145	0.171	0.0	0.042	0.14	0.057	0.137	0.104	0.215	0.051	0.346	0.034	0.127	0.023	0.207	0.124	0.0	0.024	0.014	0.047	0.053	0.01
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	0.215	0.171	0.028	0.008	0.0	0.145	0.171	0.0	0.042	0.14	0.057	0.137	0.104	0.215	0.051	0.346	0.034	0.127	0.023	0.207	0.124	0.0	0.024	0.014	0.047	0.053	0.01
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	0.215	0.171	0.028	0.008	0.0	0.145	0.171	0.0	0.042	0.14	0.057	0.137	0.104	0.215	0.051	0.346	0.034	0.127	0.023	0.207	0.124	0.0	0.024	0.014	0.047	0.053	0.01
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.477	0.431	0.013	0.312	0.178	0.387	0.467	0.408	0.019	0.0	0.056	0.175	0.384	0.0	0.086	0.241	0.133	0.357	0.054	0.207	0.066	0.0	0.316	0.302	0.066	0.063	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.477	0.431	0.013	0.312	0.178	0.387	0.467	0.408	0.019	0.0	0.056	0.175	0.384	0.0	0.086	0.241	0.133	0.357	0.054	0.207	0.066	0.0	0.316	0.302	0.066	0.063	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.011	0.007	0.0	0.0	0.0	0.049	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.207	0.0	0.0	0.0	0.0	0.005	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.011	0.007	0.0	0.0	0.0	0.049	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.207	0.0	0.0	0.0	0.0	0.005	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.011	0.007	0.0	0.0	0.0	0.049	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.207	0.0	0.0	0.0	0.0	0.005	0.0	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.016	0.021	0.013	0.0	0.036	0.034	0.03	0.0	0.0	0.067	0.019	0.082	0.0	0.211	0.0	0.0	0.039	0.051	0.049	0.0	0.0	0.0	0.0	0.029	0.009	0.0	0.053
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.016	0.021	0.013	0.0	0.036	0.034	0.03	0.0	0.0	0.067	0.019	0.082	0.0	0.211	0.0	0.0	0.039	0.051	0.049	0.0	0.0	0.0	0.0	0.029	0.009	0.0	0.053
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.016	0.021	0.013	0.0	0.036	0.034	0.03	0.0	0.0	0.067	0.019	0.082	0.0	0.211	0.0	0.0	0.039	0.051	0.049	0.0	0.0	0.0	0.0	0.029	0.009	0.0	0.053
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.003	0.004	0.0	0.006	0.0	0.0	0.003	0.0	0.023	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.186	0.0	0.071	0.0	0.0	0.0	0.0	0.011	0.003	0.008	0.01
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	0.01	0.014	0.0	0.01	0.011	0.016	0.021	0.0	0.077	0.269	0.01	0.429	0.542	0.198	0.0	0.069	0.178	0.0	0.145	0.0	0.112	0.0	0.0	0.0	0.063	0.006	0.058
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	0.01	0.014	0.0	0.01	0.011	0.016	0.021	0.0	0.077	0.269	0.01	0.429	0.542	0.198	0.0	0.069	0.178	0.0	0.145	0.0	0.112	0.0	0.0	0.0	0.063	0.006	0.058
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.005	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.052	0.254	0.01	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.016
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.016	0.018	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	0.002	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0010C54C6	0.007	0.006	0.0	0.201	0.249	0.0	0.002	0.0	0.103	0.359	0.0	0.081	0.105	0.215	0.0	0.069	0.641	0.0	0.101	0.0	0.0	0.0	0.015	0.031	0.005	0.006	0.026
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC048F01E8D	0.007	0.006	0.0	0.201	0.249	0.0	0.002	0.0	0.103	0.359	0.0	0.081	0.105	0.215	0.0	0.069	0.641	0.0	0.101	0.0	0.0	0.0	0.015	0.031	0.005	0.006	0.026
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC06F5021B7	0.007	0.006	0.0	0.201	0.249	0.0	0.002	0.0	0.103	0.359	0.0	0.081	0.105	0.215	0.0	0.069	0.641	0.0	0.101	0.0	0.0	0.0	0.015	0.031	0.005	0.006	0.026
